year,statefip,n,population
2010,1,858,122160
2010,2,180,22782
2010,4,4628,552999
2010,5,632,94875
2010,6,47607,5498437
2010,8,2390,310770
2010,9,2034,247047
2010,10,292,36441
2010,11,435,49177
2010,12,15682,1891430
2010,13,4743,613377
2010,15,910,104985
2010,16,519,59650
2010,17,6874,997844
2010,18,1506,193310
2010,19,575,86665
2010,20,808,125410
2010,21,730,93776
2010,22,876,104305
2010,23,176,20004
2010,24,3626,443747
2010,25,4092,507923
2010,26,2299,299784
2010,27,1169,218369
2010,28,331,43104
2010,29,985,135099
2010,30,78,7976
2010,31,389,67002
2010,32,2489,294702
2010,33,277,33535
2010,34,7297,924084
2010,35,981,137266
2010,36,15370,2075973
2010,37,3818,505673
2010,38,55,9224
2010,39,1993,237983
2010,40,1055,145677
2010,41,1758,232769
2010,42,2570,368716
2010,44,516,66778
2010,45,1186,149333
2010,46,86,11602
2010,47,1461,191991
2010,48,22403,2807678
2010,49,1223,156444
2010,50,105,10689
2010,51,3778,490817
2010,53,3914,482184
2010,54,110,12796
2010,55,940,150695
2010,56,77,9829
2011,1,705,106332
2011,2,185,20444
2011,4,4610,537805
2011,5,527,86858
2011,6,48407,5435264
2011,8,2422,317004
2011,9,1989,240811
2011,10,355,42639
2011,11,448,53175
2011,12,15008,1861425
2011,13,3947,573463
2011,15,1012,112035
2011,16,508,66441
2011,17,6402,963826
2011,18,1437,194561
2011,19,554,83006
2011,20,906,124302
2011,21,674,92067
2011,22,777,103842
2011,23,157,18630
2011,24,3554,433942
2011,25,4122,480642
2011,26,2286,298340
2011,27,1172,215787
2011,28,410,46700
2011,29,1232,151159
2011,30,106,11424
2011,31,394,68453
2011,32,2569,307229
2011,33,287,33709
2011,34,7199,914574
2011,35,1076,139891
2011,36,15786,2051822
2011,37,3585,474119
2011,38,86,11776
2011,39,1859,231381
2011,40,948,136312
2011,41,1793,229274
2011,42,2597,365248
2011,44,559,68743
2011,45,1104,149050
2011,46,119,15355
2011,47,1388,197364
2011,48,22106,2827048
2011,49,1050,154561
2011,50,95,9790
2011,51,3496,482765
2011,53,3921,503854
2011,54,141,12825
2011,55,922,152152
2011,56,105,11477
2012,1,727,105879
2012,2,154,23144
2012,4,4723,539102
2012,5,562,85596
2012,6,47553,5386802
2012,8,2258,309770
2012,9,2136,257427
2012,10,304,40822
2012,11,459,54949
2012,12,14720,1841271
2012,13,4199,588793
2012,15,1040,109158
2012,16,399,55197
2012,17,6802,958668
2012,18,1486,196765
2012,19,543,82539
2012,20,865,117387
2012,21,666,87777
2012,22,808,97765
2012,23,199,21325
2012,24,3436,445602
2012,25,4269,488931
2012,26,2206,297197
2012,27,1141,210432
2012,28,318,36277
2012,29,1029,131920
2012,30,72,7097
2012,31,486,79539
2012,32,2407,295592
2012,33,295,37405
2012,34,7120,903219
2012,35,934,128228
2012,36,15908,2085809
2012,37,3768,518654
2012,38,73,12816
2012,39,1680,222490
2012,40,1046,146814
2012,41,1618,218728
2012,42,2554,370710
2012,44,584,70847
2012,45,1074,140312
2012,46,107,12904
2012,47,1383,181314
2012,48,22237,2795035
2012,49,1053,151534
2012,50,97,9894
2012,51,3892,494563
2012,53,3855,483100
2012,54,126,12712
2012,55,939,150743
2012,56,89,10600
2013,1,674,99276
2013,2,146,17996
2013,4,4538,545425
2013,5,605,91843
2013,6,46270,5281854
2013,8,2348,305729
2013,9,1983,252873
2013,10,296,39437
2013,11,463,59759
2013,12,14391,1773936
2013,13,4200,594481
2013,15,938,104399
2013,16,464,62496
2013,17,6891,948278
2013,18,1468,204254
2013,19,562,97544
2013,20,890,125922
2013,21,708,91445
2013,22,791,101325
2013,23,153,17524
2013,24,3280,417606
2013,25,4214,500002
2013,26,2245,299482
2013,27,1021,194617
2013,28,324,38953
2013,29,1012,125274
2013,30,82,8460
2013,31,426,71341
2013,32,2312,276754
2013,33,254,32491
2013,34,7173,908402
2013,35,1052,143924
2013,36,15364,2021105
2013,37,3704,505761
2013,38,91,13166
2013,39,1868,239512
2013,40,1044,146692
2013,41,1737,245701
2013,42,2748,393406
2013,44,519,67735
2013,45,1096,138968
2013,46,109,15039
2013,47,1487,190481
2013,48,22408,2869826
2013,49,1027,147823
2013,50,112,11778
2013,51,3583,482881
2013,53,3888,504908
2013,54,122,14250
2013,55,969,159910
2013,56,94,10240
2014,1,726,101594
2014,2,150,23582
2014,4,4466,556109
2014,5,622,102426
2014,6,46136,5338805
2014,8,2257,314640
2014,9,2045,257446
2014,10,312,41992
2014,11,470,56897
2014,12,14385,1847443
2014,13,4341,579056
2014,15,889,100878
2014,16,454,65629
2014,17,6275,867452
2014,18,1366,196744
2014,19,588,97076
2014,20,808,124313
2014,21,752,103535
2014,22,843,109327
2014,23,203,24150
2014,24,3503,449346
2014,25,4363,504501
2014,26,2294,311646
2014,27,1047,217170
2014,28,344,39686
2014,29,879,116724
2014,30,99,12105
2014,31,476,76598
2014,32,2352,293215
2014,33,297,35352
2014,34,6967,879211
2014,35,936,136047
2014,36,15404,2027905
2014,37,3674,496782
2014,38,105,17833
2014,39,1906,242783
2014,40,1091,150014
2014,41,1713,227272
2014,42,2688,388663
2014,44,557,66007
2014,45,1062,138103
2014,46,104,12450
2014,47,1511,208805
2014,48,22430,2932128
2014,49,1060,155628
2014,50,102,12124
2014,51,3801,523006
2014,53,3894,500140
2014,54,126,14458
2014,55,919,148314
2014,56,102,15582
2015,1,681,100789
2015,2,174,27795
2015,4,4216,527518
2015,5,629,98267
2015,6,45261,5351411
2015,8,2357,328997
2015,9,2053,262057
2015,10,380,51372
2015,11,430,53205
2015,12,14577,1875361
2015,13,4309,595803
2015,15,902,104351
2015,16,436,63022
2015,17,6634,940348
2015,18,1470,191561
2015,19,518,87865
2015,20,922,137204
2015,21,754,105312
2015,22,827,110792
2015,23,167,18019
2015,24,3395,456642
2015,25,4415,528672
2015,26,2193,302753
2015,27,1168,232855
2015,28,411,45491
2015,29,1039,128353
2015,30,80,9159
2015,31,465,75338
2015,32,2217,295480
2015,33,292,34352
2015,34,6818,874254
2015,35,881,126819
2015,36,15323,2012771
2015,37,3615,495518
2015,38,92,11998
2015,39,1972,252881
2015,40,1100,152435
2015,41,1622,220691
2015,42,2741,392216
2015,44,520,66680
2015,45,1108,141028
2015,46,99,17720
2015,47,1493,203948
2015,48,22907,2963500
2015,49,941,144628
2015,50,89,12212
2015,51,3756,493557
2015,53,4207,514664
2015,54,126,14896
2015,55,941,155740
2015,56,82,11483
2016,1,750,95945
2016,2,169,21240
2016,4,4449,541575
2016,5,650,89173
2016,6,44720,5307293
2016,8,2293,324935
2016,9,1943,246124
2016,10,328,45616
2016,11,414,49939
2016,12,14271,1900973
2016,13,4518,607470
2016,15,925,113813
2016,16,425,59164
2016,17,6253,890977
2016,18,1560,210241
2016,19,591,98058
2016,20,833,128716
2016,21,700,89786
2016,22,849,109626
2016,23,161,22729
2016,24,3446,455374
2016,25,4342,531504
2016,26,2384,324143
2016,27,1114,214849
2016,28,337,36214
2016,29,1032,130279
2016,30,92,11730
2016,31,519,91114
2016,32,2311,306927
2016,33,286,35180
2016,34,6982,903964
2016,35,848,115802
2016,36,15288,2033499
2016,37,3499,464925
2016,38,98,13665
2016,39,1842,233653
2016,40,1060,142171
2016,41,1578,214413
2016,42,2680,398717
2016,44,528,67058
2016,45,1144,147467
2016,46,156,20303
2016,47,1653,209342
2016,48,22649,2971826
2016,49,1063,151403
2016,50,92,9043
2016,51,3774,491729
2016,53,4080,534659
2016,54,153,18409
2016,55,914,163405
2016,56,97,12463
2017,1,800,109354
2017,2,177,24969
2017,4,4381,532012
2017,5,708,96452
2017,6,43504,5121072
2017,8,2349,315652
2017,9,2075,253563
2017,10,351,47453
2017,11,507,63393
2017,12,14860,1950341
2017,13,4572,600382
2017,15,840,102652
2017,16,410,54573
2017,17,6538,899362
2017,18,1547,218343
2017,19,594,96397
2017,20,814,117257
2017,21,776,105079
2017,22,915,112331
2017,23,160,20509
2017,24,3532,444882
2017,25,4512,553578
2017,26,2502,345768
2017,27,1195,222123
2017,28,343,34969
2017,29,987,125925
2017,30,98,12328
2017,31,546,87734
2017,32,2416,302880
2017,33,343,40112
2017,34,7330,913867
2017,35,811,111131
2017,36,14996,1977850
2017,37,3793,506814
2017,38,115,19040
2017,39,1990,250890
2017,40,1053,146909
2017,41,1648,218623
2017,42,2745,415135
2017,44,473,63072
2017,45,1145,137055
2017,46,128,17202
2017,47,1620,211096
2017,48,23102,3042904
2017,49,1152,165992
2017,50,104,14693
2017,51,3797,503524
2017,53,4365,552023
2017,54,142,13890
2017,55,850,151450
2017,56,84,13083
2018,1,755,97387
2018,2,165,19486
2018,4,4034,523730
2018,5,674,98487
2018,6,42265,5020111
2018,8,2075,309450
2018,9,2004,245060
2018,10,371,48246
2018,11,401,52615
2018,12,14498,1922109
2018,13,4406,586791
2018,15,921,108981
2018,16,371,59916
2018,17,6243,879436
2018,18,1463,214462
2018,19,637,110194
2018,20,801,121254
2018,21,774,99900
2018,22,903,112436
2018,23,184,22027
2018,24,3280,417772
2018,25,4480,551828
2018,26,2325,320810
2018,27,1119,223205
2018,28,354,45782
2018,29,950,131468
2018,30,79,9534
2018,31,505,84443
2018,32,2339,291575
2018,33,278,31311
2018,34,6633,842764
2018,35,761,118153
2018,36,14550,1860053
2018,37,3800,498102
2018,38,111,20918
2018,39,1865,254804
2018,40,1006,148441
2018,41,1592,226919
2018,42,2746,424980
2018,44,422,57564
2018,45,1163,144498
2018,46,92,15320
2018,47,1649,216179
2018,48,22713,3063543
2018,49,1120,161835
2018,50,99,11803
2018,51,3697,494188
2018,53,4416,566882
2018,54,85,11921
2018,55,924,160123
2018,56,65,10931
2019,1,705,99398
2019,2,131,19053
2019,4,3839,534585
2019,5,570,95046
2019,6,40919,4898399
2019,8,1913,275222
2019,9,1858,240724
2019,10,340,49852
2019,11,381,43457
2019,12,13990,1928884
2019,13,4336,586906
2019,15,879,103381
2019,16,352,51737
2019,17,5636,812239
2019,18,1405,211486
2019,19,560,90743
2019,20,768,120377
2019,21,823,110100
2019,22,882,112988
2019,23,164,19216
2019,24,3351,438245
2019,25,4347,546582
2019,26,2182,308733
2019,27,1007,193578
2019,28,331,35313
2019,29,921,124923
2019,30,94,10314
2019,31,437,86782
2019,32,2389,305981
2019,33,289,39008
2019,34,6837,865772
2019,35,749,105655
2019,36,13969,1772286
2019,37,3807,507932
2019,38,93,14602
2019,39,1873,257078
2019,40,955,144514
2019,41,1458,215382
2019,42,2515,398228
2019,44,410,60995
2019,45,1169,163687
2019,46,115,17955
2019,47,1582,218257
2019,48,21239,2994454
2019,49,1075,155745
2019,50,84,11128
2019,51,3697,503636
2019,53,4534,597234
2019,54,108,12829
2019,55,880,156015
2019,56,84,9540
2020,1,640,92411
2020,2,156,25236
2020,4,2771,461121
2020,5,562,90405
2020,6,33149,4608199
2020,8,1760,271793
2020,9,1557,230212
2020,10,224,35691
2020,11,348,45352
2020,12,9012,1755784
2020,13,2659,547512
2020,15,943,97108
2020,16,362,52849
2020,17,5431,784868
2020,18,1210,210471
2020,19,602,91512
2020,20,731,110201
2020,21,795,96196
2020,22,648,93482
2020,23,203,23932
2020,24,2897,415031
2020,25,3607,513833
2020,26,2264,280897
2020,27,898,160847
2020,28,245,32087
2020,29,798,103472
2020,30,80,7453
2020,31,504,85467
2020,32,1743,283361
2020,33,238,31409
2020,34,5849,848042
2020,35,593,99175
2020,36,12421,1698858
2020,37,2604,455844
2020,38,101,21391
2020,39,1597,237438
2020,40,1032,143426
2020,41,1314,206784
2020,42,2659,401028
2020,44,417,69501
2020,45,906,142769
2020,46,113,17045
2020,47,1153,183514
2020,48,14229,2743227
2020,49,987,133350
2020,50,104,13376
2020,51,2887,434077
2020,53,3968,557697
2020,54,119,12887
2020,55,795,139096
2020,56,83,12622
2021,1,899,100745
2021,2,143,21689
2021,4,3839,465198
2021,5,758,95834
2021,6,43524,4743484
2021,8,2225,283878
2021,9,1980,245255
2021,10,336,45547
2021,11,444,45467
2021,12,14038,1803496
2021,13,4093,542792
2021,15,879,96485
2021,16,476,61556
2021,17,6276,836781
2021,18,1508,210379
2021,19,553,83995
2021,20,794,114905
2021,21,852,102732
2021,22,1034,114055
2021,23,204,22726
2021,24,3709,428638
2021,25,4739,548008
2021,26,2204,280823
2021,27,1025,206542
2021,28,389,35742
2021,29,995,118175
2021,30,92,11941
2021,31,467,78058
2021,32,2341,265386
2021,33,291,32898
2021,34,7630,917102
2021,35,765,107961
2021,36,14289,1738316
2021,37,4104,492683
2021,38,127,20928
2021,39,2019,262521
2021,40,985,125988
2021,41,1588,206674
2021,42,2850,430084
2021,44,514,67466
2021,45,1282,152046
2021,46,96,15464
2021,47,1843,224271
2021,48,21366,2968980
2021,49,1161,154366
2021,50,124,13086
2021,51,3767,451166
2021,53,4851,583068
2021,54,135,15050
2021,55,926,150552
2021,56,84,10543
2022,1,890,102594
2022,2,174,22432
2022,4,3930,485477
2022,5,701,101309
2022,6,43872,4752362
2022,8,2283,284819
2022,9,2077,251946
2022,10,320,41768
2022,11,430,46261
2022,12,16074,2019350
2022,13,4924,580140
2022,15,881,96664
2022,16,465,62542
2022,17,6149,838763
2022,18,1733,235963
2022,19,629,111586
2022,20,848,124820
2022,21,772,96159
2022,22,961,106077
2022,23,202,25505
2022,24,3711,464415
2022,25,4921,570694
2022,26,2229,307744
2022,27,1020,189194
2022,28,368,37160
2022,29,1067,125780
2022,30,93,10076
2022,31,452,75757
2022,32,2327,278701
2022,33,233,31448
2022,34,7620,912467
2022,35,800,106035
2022,36,14355,1759132
2022,37,4001,509583
2022,38,114,15295
2022,39,2027,260106
2022,40,1111,147794
2022,41,1674,220302
2022,42,2836,431675
2022,44,498,74981
2022,45,1208,139600
2022,46,108,15541
2022,47,1859,224826
2022,48,22872,2908253
2022,49,1338,178269
2022,50,72,7948
2022,51,3659,447371
2022,53,5188,603385
2022,54,127,12386
2022,55,883,150031
2022,56,93,10335
2023,1,941,120870
2023,2,157,18542
2023,4,3906,502316
2023,5,735,101639
2023,6,43469,4798976
2023,8,2188,295063
2023,9,2164,265360
2023,10,457,59321
2023,11,462,46623
2023,12,16804,2160122
2023,13,5568,655311
2023,15,884,90156
2023,16,435,56762
2023,17,6384,888803
2023,18,1751,251167
2023,19,654,106070
2023,20,796,118979
2023,21,827,110238
2023,22,1033,131641
2023,23,219,28042
2023,24,3631,471659
2023,25,5014,591271
2023,26,2418,317101
2023,27,1023,198242
2023,28,457,48325
2023,29,1182,153477
2023,30,80,9498
2023,31,548,89072
2023,32,2328,284747
2023,33,298,41166
2023,34,8202,996103
2023,35,899,118689
2023,36,15280,1835480
2023,37,4403,563841
2023,38,115,13895
2023,39,2211,289665
2023,40,1076,142844
2023,41,1590,200518
2023,42,2925,464392
2023,44,422,72917
2023,45,1503,178989
2023,46,162,19287
2023,47,2015,264889
2023,48,24751,3124084
2023,49,1315,172041
2023,50,78,8602
2023,51,3981,498174
2023,53,5245,616996
2023,54,147,15568
2023,55,1040,180244
2023,56,97,12064
2024,1,1057,137755
2024,2,174,20436
2024,4,4084,533385
2024,5,788,120630
2024,6,44289,4990239
2024,8,2427,334399
2024,9,2091,267498
2024,10,361,57381
2024,11,487,60826
2024,12,17374,2457034
2024,13,5584,705235
2024,15,959,98126
2024,16,493,69939
2024,17,6405,938843
2024,18,1951,294824
2024,19,689,121700
2024,20,802,136058
2024,21,1066,149151
2024,22,1155,145158
2024,23,238,30707
2024,24,3583,482215
2024,25,5274,635442
2024,26,2314,335858
2024,27,1089,219792
2024,28,478,48467
2024,29,1155,148325
2024,30,101,10651
2024,31,612,112380
2024,32,2483,306062
2024,33,217,30886
2024,34,8138,1042608
2024,35,858,124356
2024,36,15222,1891434
2024,37,4816,636398
2024,38,149,29294
2024,39,2216,313456
2024,40,1057,159949
2024,41,1479,203995
2024,42,2836,455887
2024,44,505,81346
2024,45,1456,196730
2024,46,152,22003
2024,47,1970,277816
2024,48,24179,3356806
2024,49,1376,207687
2024,50,85,8749
2024,51,3932,525010
2024,53,5297,647931
2024,54,152,19238
2024,55,917,179847
2024,56,93,10087
